,path,emotion
0,data/emodb/wav/13a05Nb.wav,neutral
1,data/emodb/wav/13b09Fb.wav,happy
2,data/emodb/wav/12b01Ta.wav,sad
3,data/emodb/wav/11a05Fc.wav,happy
4,data/emodb/wav/15a02Ta.wav,sad
5,data/emodb/wav/15a01Nb.wav,neutral
6,data/emodb/wav/15b10Nc.wav,neutral
7,data/emodb/wav/14a05Fa.wav,happy
8,data/emodb/wav/14a04Tc.wav,sad
9,data/emodb/wav/14a07Tc.wav,sad
10,data/emodb/wav/16a01Fc.wav,happy
11,data/emodb/wav/14a05Tc.wav,sad
12,data/emodb/wav/03a05Tc.wav,sad
13,data/emodb/wav/13a02Nc.wav,neutral
14,data/emodb/wav/11a05Na.wav,neutral
15,data/emodb/wav/08a07Fd.wav,happy
16,data/emodb/wav/16a02Nb.wav,neutral
17,data/emodb/wav/08b01Na.wav,neutral
18,data/emodb/wav/14a02Nc.wav,neutral
19,data/emodb/wav/14b09Fc.wav,happy
20,data/emodb/wav/10a02Na.wav,neutral
21,data/emodb/wav/15b09Ta.wav,sad
22,data/emodb/wav/03b01Td.wav,sad
23,data/emodb/wav/10a04Fd.wav,happy
24,data/emodb/wav/03b02Na.wav,neutral
25,data/emodb/wav/09b03Nb.wav,neutral
26,data/emodb/wav/15b02Tc.wav,sad
27,data/emodb/wav/11b09Fd.wav,happy
28,data/emodb/wav/13a07Na.wav,neutral
29,data/emodb/wav/11b02Fd.wav,happy
30,data/emodb/wav/08b09Nb.wav,neutral
31,data/emodb/wav/08b02Tc.wav,sad
32,data/emodb/wav/11b03Fc.wav,happy
33,data/emodb/wav/11b09Na.wav,neutral
34,data/emodb/wav/16a07Nb.wav,neutral
35,data/emodb/wav/08a04Nc.wav,neutral
36,data/emodb/wav/03a05Fc.wav,happy
37,data/emodb/wav/14a02Fd.wav,happy
38,data/emodb/wav/14b03Ta.wav,sad
39,data/emodb/wav/11a04Nd.wav,neutral
40,data/emodb/wav/11a05Td.wav,sad
41,data/emodb/wav/14b10Tc.wav,sad
42,data/emodb/wav/14b10Nb.wav,neutral
43,data/emodb/wav/14b02Fb.wav,happy
44,data/emodb/wav/08a04Tb.wav,sad
45,data/emodb/wav/16b10Td.wav,sad
46,data/emodb/wav/15a05Na.wav,neutral
47,data/emodb/wav/03a07Nc.wav,neutral
48,data/emodb/wav/14a04Tb.wav,sad
49,data/emodb/wav/15b03Tc.wav,sad
50,data/emodb/wav/11a04Fd.wav,happy
51,data/emodb/wav/16b01Fa.wav,happy
52,data/emodb/wav/03b01Nb.wav,neutral
53,data/emodb/wav/08a02Na.wav,neutral
54,data/emodb/wav/15b10Nb.wav,neutral
55,data/emodb/wav/13b09Fc.wav,happy
56,data/emodb/wav/16a07Fa.wav,happy
57,data/emodb/wav/16a01Nc.wav,neutral
58,data/emodb/wav/13b09Na.wav,neutral
59,data/emodb/wav/16a04Nc.wav,neutral
60,data/emodb/wav/03b02Tb.wav,sad
61,data/emodb/wav/11b03Td.wav,sad
62,data/emodb/wav/08b10Nc.wav,neutral
63,data/emodb/wav/11b02Td.wav,sad
64,data/emodb/wav/08b01Fe.wav,happy
65,data/emodb/wav/08a07Ta.wav,sad
66,data/emodb/wav/16a04Tc.wav,sad
67,data/emodb/wav/13a07Tc.wav,sad
68,data/emodb/wav/16b01Tb.wav,sad
69,data/emodb/wav/08a07Tb.wav,sad
70,data/emodb/wav/13b10Nc.wav,neutral
71,data/emodb/wav/08b09Tb.wav,sad
72,data/emodb/wav/08b03Tc.wav,sad
73,data/emodb/wav/16b03Fa.wav,happy
74,data/emodb/wav/09a07Ta.wav,sad
75,data/emodb/wav/03b03Tc.wav,sad
76,data/emodb/wav/08b09Fd.wav,happy
77,data/emodb/wav/15a01Fb.wav,happy
78,data/emodb/wav/12b02Fb.wav,happy
79,data/emodb/wav/14b01Fc.wav,happy
80,data/emodb/wav/13b10Fa.wav,happy
81,data/emodb/wav/08a07Na.wav,neutral
82,data/emodb/wav/12a01Fb.wav,happy
83,data/emodb/wav/08b03Fe.wav,happy
84,data/emodb/wav/15a07Fb.wav,happy
85,data/emodb/wav/11a02Tc.wav,sad
86,data/emodb/wav/13b01Nc.wav,neutral
87,data/emodb/wav/14a05Na.wav,neutral
88,data/emodb/wav/11a02Fb.wav,happy
89,data/emodb/wav/08b01Fd.wav,happy
90,data/emodb/wav/10a07Ta.wav,sad
91,data/emodb/wav/08a02Tb.wav,sad
92,data/emodb/wav/13b02Nb.wav,neutral
93,data/emodb/wav/10b02Na.wav,neutral
94,data/emodb/wav/15b09Fa.wav,happy
95,data/emodb/wav/09a01Nb.wav,neutral
96,data/emodb/wav/08a05Nb.wav,neutral
97,data/emodb/wav/03a02Ta.wav,sad
98,data/emodb/wav/03a02Nc.wav,neutral
99,data/emodb/wav/13b03Fd.wav,happy
100,data/emodb/wav/11b03Nb.wav,neutral
101,data/emodb/wav/09b02Na.wav,neutral
102,data/emodb/wav/08a05Fe.wav,happy
103,data/emodb/wav/16a07Td.wav,sad
104,data/emodb/wav/09a04Fd.wav,happy
